gamma,regime,action_idx,stock_weight,bond_weight,V_star
1.0,0,5,1.0,0.0,0.12034359960631265
1.0,1,5,1.0,0.0,0.11289266347997398
2.0,0,5,1.0,0.0,0.10539905596480338
2.0,1,5,1.0,0.0,0.10030551364963279
3.0,0,5,1.0,0.0,0.09060353002684211
3.0,1,5,1.0,0.0,0.08784193363376447
5.0,0,4,0.8,0.2,0.06659806082686608
5.0,1,4,0.8,0.2,0.06606574643944083
8.0,0,2,0.4,0.6,0.050791469348142
8.0,1,2,0.4,0.6,0.049376197324668664
10.0,0,2,0.4,0.6,0.044032706259675564
10.0,1,2,0.4,0.6,0.043762570197319
15.0,0,1,0.2,0.8,0.03199977587878203
15.0,1,1,0.2,0.8,0.03152363605478642
20.0,0,1,0.2,0.8,0.02308123910767513
20.0,1,1,0.2,0.8,0.024029942999343624
