K,regime,n_months,mean_spy,std_spy,mean_agg,std_agg,mean_vix,best_action_idx,best_action_stock,best_action_bond,V_star
2,0,201,0.012799118097464252,0.032498759633360755,0.002543353162483629,0.01209793006227298,15.823532338308457,5,1.0,0.0,0.1830538613936628
2,1,71,-0.0021754723973820985,0.061275251360700604,0.002353221744404613,0.014572030287979307,28.12859154929578,0,0.0,1.0,0.03175121455809522
3,0,64,-0.0043239106667872645,0.06360210865209824,0.0023535290407052695,0.015133812233183372,29.32875,0,0.0,1.0,0.022399670372314072
3,1,109,0.011516155070615043,0.03575394416791964,0.00282811218937448,0.0141288086003563,16.045871559633024,5,1.0,0.0,0.12756454209265677
3,2,99,0.014541753306601317,0.02818043699043711,0.0022161883057068834,0.00910738098087832,15.672929292929291,5,1.0,0.0,0.16383255341854508
4,0,113,0.013114782105033128,0.04018873585650889,0.0034577854880179096,0.014164021342549717,17.563805309734512,5,1.0,0.0,0.13702609292294307
4,1,22,0.023477954952485936,0.047694627701152924,0.004990636822780421,0.00871280913093758,25.08318181818182,5,1.0,0.0,0.2234233004914358
4,2,85,-0.003296101897462775,0.049566021833710665,0.0011741288187278914,0.013420722889247472,21.963764705882355,0,0.0,1.0,0.0074584162095917336
4,3,52,0.013458605227636294,0.024407682738700143,0.0014993848014014076,0.009396565617117903,14.88846153846154,5,1.0,0.0,0.11662714779049316
